Category,Model Classification,Model Name,Publication_Date,Tool Usage,Url,Architecture,Transformer_Type,Description,Evaluation,citation
"Natural language,ST",Multimodal,SpaLLM,2026-01,"Large language model driven framework that integrates spatial transcriptomics data with natural language prompts to perform spatial domain identification, cell type annotation, and hypothesis-driven spatial reasoning via instruction following.",https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1713975/abstract,Spatial Feature Encoder + LLM,Encoder-Decoder,"SpaLLM leverages a pretrained large language model to interpret spatial transcriptomics features encoded from gene expression and spatial coordinates, enabling instruction-based spatial analysis, flexible querying, and reasoning over tissue organization and cell cell relationships.",Spatial domain identification; cell type annotation; spatial pattern interpretation,0
"Natural language,TBP",Multimodal,Med-PaLM Multimodal (Med-PaLM M),2023-07,"Google's generalist biomedical multimodal model trained on MultiMedBench benchmark. Handles diverse data types including clinical language, medical imaging (radiology, pathology, dermatology, mammography), and genomics via natural language instructions.",https://arxiv.org/abs/2307.14334,Pretrained PaLM LLM and ViT encoders aligned through multimodal finetuning,Encoder-Decoder,6-class skin lesion image classification (PAD-UFES-20) incorporating patient clinical history.,"Segmentation, disease classification.",443
OCT,Unimodal,RetFiner,2025-06,"This study proposes RetFiner, a self-supervised vision language refinement framework that leverages Natural languageual supervision to enhance OCT foundation models, enabling population-specific adaptation and improved downstream performance without supervised fine-tuning.",https://arxiv.org/abs/2506.22149,ViT + BERT (Vision-Language Refinement),Dual-Encoder,RetFiner uses dual encoder (ViT + BERT) for vision-language refinement in ophthalmology. Contrastive alignment with refinement. (2024),Radiology image classification,0
OCT,Unimodal,MIRAGE,2025-09,"A brand new 2025 foundation model specifically designed to be ""truly multimodal,"" connecting different views of the eye to systemic health.",https://pubmed.ncbi.nlm.nih.gov/40999048/,Transformer (Medical Image),Encoder-only,Transformer encoder for medical image representation.,Radiology image classification,6
OCT,Unimodal,RETFound,2023-10,"It shows how eye photos can predict systemic health (heart/kidney) usually seen on CTs. Once the AI understands that ""Body Health = Eye Health,"" doctors use a specialized model like RETFound to do the high-precision diagnosis on the eye photo itself. However, a pitfall is that CT isn't directly mentioned in the paper. However, the models have been trained on low feature distinction objects with RETFound being also trained on retinal images.",https://pubmed.ncbi.nlm.nih.gov/37704728/,ViT-Large (MAE SSL),Encoder-only,"RETFound uses Vision Transformer (ViT-Large) architecture pretrained with Masked Autoencoder (MAE) self-supervised learning on 1.6 million retinal images. Encoder-only design. (Zhou et al., Nature 2023)",Disease detection AUROC; Diabetic retinopathy; Glaucoma; AMD; Systemic disease prediction; Label efficiency,720
"OCT, H&E",Multimodal,OCT2HE,2022-09,Virtual staining / image-to-image translation to convert in vivo OCT images of human skin into H&E-like histopathology images,https://doi.org/10.1063/5.0122965,"CycleGAN-based conditional GAN: two ResNet encoder decoder generators + two PatchGAN discriminators, with auxiliary segmentation networks and a pretrained VGG16 used for feature loss during training",Encoder-Decoder,OCT2HE is a CycleGAN-based image translation model that maps unpaired in vivo OCT images to H&E-like histology images while preserving skin layer boundaries and nuclei morphology.,"Virtual staining; morphology preservation; boundary localization (SC, DEJ); nuclei consistency",9
"OCT, H&E",Multimodal,OCT2Hist,2024-04,OCT2Hist: Non-Invasive Virtual Biopsy Using Optical Coherence Tomography,https://www.science.org/doi/10.1126/sciadv.adi5794,GAN (Image Translation),Non-Transformer,OCT2Hist uses GAN architecture for OCT to histology image translation. CNN-based generator and discriminator. (2023),"Histopathology classification; Image translation quality (FID, SSIM)",27
"OCT, H&E",Multimodal,Micro-registered cGAN,2024-04,"Noninvasive virtual biopsy by translating in vivo OCT images into virtual H&E histology using paired, micro-registered data",https://www.science.org/doi/10.1126/sciadv.adi5794,"Conditional GAN (pix2pix): ResNet encoder decoder generator + PatchGAN discriminator, trained on micro-registered OCT H&E pairs",Encoder-Decoder,A conditional GAN trained on micron-accurately registered OCT-H&E pairs to generate H&E-like histology images from noninvasive OCT scans for virtual biopsy.,"Virtual staining; morphology fidelity; clinical structure detection (e.g., hair follicles); qualitative and reader-study evaluation",27
PET/PET-CT/PET-MRI,Unimodal,ALL-PET,2025-09,Learns PET-specific embeddings via self-supervised contrastive learning and diffusion priors.,https://arxiv.org/abs/2509.09130,CNN/Transformer (PET FM),Hybrid,ALL-PET uses hybrid CNN/Transformer architecture for PET imaging foundation model. Combines convolutional and attention mechanisms. (2024),Radiology image classification,0
PET/PET-CT/PET-MRI,Unimodal,TAP-CT,2025-11,A suite of task-agnostic models. It provides frozen feature representations that generalized to new tasks without intensive fine-tuning.,https://arxiv.org/abs/2512.00872,3D Vision Transformer,Encoder-only,Scalable pre-training on 105k volumes using 3D adaptations of DINOv2 and depth-aware embeddings.,Low-shot transfer (AUROC); Feature test-retest; Segmentation; Retrieval.,0
PET/PET-CT/PET-MRI,Unimodal,Natural language3DSAM,2025-06,Natural language3DSAM is a multimodal foundation model that uses PET and other 3D medical images to generate Natural language-aligned embeddings for prompt-based segmentation via a SAM-inspired architecture.,https://openreview.net/forum?id=egbzGkOWVf,ViT + Natural language (SAM-based 3D),Encoder-Decoder,Natural language3DSAM uses ViT encoder + text encoder with SAM-based 3D decoder for language-guided medical image segmentation. (2024),Radiology image classification,
Protein,Unimodal,Ankh,2023-01,"Ankh is a general-purpose protein language model that learns representations of amino acids to facilitate various downstream protein modeling tasks, including structure prediction, function prediction, and protein variant generation.",https://arxiv.org/abs/2301.06568,Encoder-decoder transformer (T5-like) backbone. Pretrained using a self-supervised masked language modeling objective (1-gram span masking with 20% probability) on the UniRef50 dataset. Features relative positional embeddings and Gated-GELU activation.,Encoder-Decoder,"Ankh is an optimized, general-purpose protein language model trained on Google's TPU-v4. It achieves state-of-the-art performance on various structure and function benchmarks with significantly fewer parameters than existing models, emphasizing data-efficient and knowledge-guided optimization over sheer scale.","Evaluated on Protein Function Prediction (Fluorescence, Solubility, GB1 Fitness), Protein Structure Prediction (Contact Prediction, Fold Prediction, Secondary Structure Prediction, Embedding-based Annotation Transfer), Protein Localization Prediction, and Novel Protein Generation. Metrics include Accuracy, Spearman Correlation, L/1 and L/5 precision, RMSD, and Shannon Entropy. Benchmarks include CASP12, CASP14, ProteinNet, TAPE, FLIP, DeepSol, DeepLoc, and CATH. Efficiency was evaluated via feature extraction time and parameter count vs. performance trade-offs.",148
Protein,Unimodal,ESM3,2025-01,"ESM3 is a multimodal generative language model that reasons over the sequence, structure, and function of proteins to enable controllable generation of novel, functional proteins.",https://doi.org/10.1126/science.ads0018,"Bidirectional transformer trained with a generative masked language modeling objective across discrete tokens representing protein sequence, 3D structure, and function. It uses a discrete autoencoder for structure tokenization and geometric attention for atomic coordinates.",Encoder-only,"ESM3 is a frontier multimodal generative language model trained on 2.78 billion natural proteins. It can follow complex prompts combining its modalities to generate highly diverged functional proteins, such as a novel fluorescent protein (esmGFP) estimated to be equivalent to 500 million years of evolution.","Evaluated on structure prediction confidence (pTM, pLDDT), prompt consistency (backbone cRMSD, SS3 accuracy, SASA Spearman correlation, keyword recovery), structural similarity (TM-score), sequence identity, and CAMEO test set (LDDT). Experimental validation included synthesis, expression in E. coli, and measurement of fluorescence activity, brightness, and excitation/emission spectra.",201
Protein,Unimodal,ProGen2,2022-06,ProGen2 is a suite of autoregressive protein language models scaled up to 6.4 billion parameters that captures the distribution of evolutionary sequences to generate novel viable protein sequences and predict protein fitness without additional finetuning.,https://arxiv.org/abs/2206.13517,"Autoregressive transformer decoder with left-to-right causal masking, rotary positional encodings, and parallelized self-attention and feed-forward circuits. Pretrained via next-token prediction on over a billion protein sequences from genomic, metagenomic (Uniref90, BFD30), and immune repertoire (OAS) databases.",Decoder-only,"ProGen2 is a family of large-scale protein language models ranging from 151M to 6.4B parameters, trained on diverse sequence datasets to explore the boundaries of sequence generation and zero-shot fitness prediction in protein engineering.","Tasks: Zero-shot fitness prediction, universal protein generation, fold-specific generation, antibody generation. Metrics: Perplexity (test-max90, test-max50), TMscore, sequence identity, pLDDT, Spearman correlation (rho), AUC, SAP score (aggregation propensity), CamSol-intrinsic profile (solubility). Benchmarks: Deep mutational scanning (DMS) datasets (narrow and wide landscapes including AAV, GFP, CM, GB1), and antibody-specific landscapes.",452
Protein,Unimodal,ProtGPT2,2022-07,"ProtGPT2 is an autoregressive language model that generates de novo protein sequences following the principles of natural proteins. It is designed to efficiently produce fit, stable proteins that can sample unexplored regions of the protein space for high-throughput protein engineering.",https://doi.org/10.1038/s41467-022-32007-7,"Decoder-only Transformer architecture (36 layers, 738 million parameters, 1280 dimensionality) based on GPT2-large. It was pretrained using an autoregressive (self-supervised) next-token prediction strategy on approximately 50 million unannotated protein sequences from the UniRef50 database, utilizing a Byte Pair Encoding (BPE) tokenizer.",Decoder-only,"ProtGPT2 is a deep unsupervised language model trained on the entire protein space to generate novel protein sequences. It leverages a GPT-2-like architecture to learn the 'language' of proteins, enabling the zero-shot generation of complex, non-idealized globular protein structures that are distantly related to natural ones.","Evaluations include statistical sampling of amino acid propensities, disorder and secondary structure predictions (IUPred3, PSIPRED), remote homology detection (HHblits against Uniclust30), structural order and stability predictions (AlphaFold2 pLDDT scores, Rosetta RelaxBB energy scores), molecular dynamics simulations (RMSD flexibility patterns), and structural space network analysis (Protlego, FoldSeek).",753
